"North","East","BedSE","Code","Pt.name","VertPrec"
4099623.013,568601.3,8.232,"topo","3",NA
4099652.908,568591.758,3.692,"topo","5",NA
4099652.92,568591.741,3.687,"topo","6",NA
4099657.55,568594.706,3.887,"topo","7",NA
4099660.324,568589.728,2.822,"topo","8",NA
4099663.744,568592.549,2.714,"topo","9",NA
4099663.518,568594.31,3.034,"topo","10",NA
4099666.085,568597.979,3.112,"topo","11",NA
4099670.557,568602.446,3.111,"topo","12",NA
4099674.457,568602.584,2.439,"topo","13",NA
4099675.675,568606.607,3.38,"topo","14",NA
4099681.296,568608.782,2.722,"topo","15",NA
4099683.723,568611.041,3.213,"topo","16",NA
4099685.693,568612.599,3.492,"topo","17",NA
4099688.951,568613.886,2.839,"topo","18",NA
4099691.398,568616.326,3.147,"topo","19",NA
4099695.4,568619.014,2.993,"topo","20",NA
4099699.62,568623.32,3.118,"topo","21",NA
4099705.591,568627.731,3.154,"topo","22",NA
4099705.657,568627.8,3.162,"topo","23",NA
4099710.356,568632.485,3.104,"topo","24",NA
4099711.992,568638.368,3.34,"topo","25",NA
4099715.188,568640.789,3.113,"topo","26",NA
4099720.306,568644.425,3.229,"topo","27",NA
4099723.887,568650.367,3.225,"topo","28",NA
4099727.762,568649.513,2.863,"topo","29",NA
4099727.801,568654.163,3.178,"topo","30",NA
4099733.28,568655.193,3.041,"topo","31",NA
4099734.26,568660.646,3.353,"topo","32",NA
4099738.119,568661.774,3.191,"topo","33",NA
4099739.045,568665.882,3.416,"topo","34",NA
4099742.217,568667.176,3.339,"topo","35",NA
4099745.385,568672.212,3.368,"topo","36",NA
4099746.327,568673.801,3.534,"topo","37",NA
4099681.606,568599.885,2.018,"topo","46",NA
4099678.649,568603.679,2.463,"topo","47",NA
4099682.149,568606.835,2.481,"topo","48",NA
4099678.564,568603.056,2.432,"topo","51",NA
4099675.677,568600.468,2.369,"topo","52",NA
4099659.477,568584.386,2.287,"topo","58",NA
4099662.08,568588.626,2.344,"topo","59",NA
4099664.666,568589.576,1.966,"topo","60",NA
4099666.531,568593.096,2.456,"topo","61",NA
4099669.309,568593.332,2.223,"topo","62",NA
4099669.659,568596.571,2.318,"topo","63",NA
4099672.303,568595.286,2.177,"topo","64",NA
4099674.592,568593.992,1.896,"topo","65",NA
4099677.072,568595.297,1.942,"topo","66",NA
4099680.264,568596.246,1.95,"topo","67",NA
4099683.101,568596.553,2.154,"topo","68",NA
4099684.053,568599.872,2.175,"topo","69",NA
4099688.414,568599.546,2.225,"topo","70",NA
4099690.873,568597.433,2.052,"topo","71",NA
4099693.956,568599.134,2.053,"topo","72",NA
4099692.927,568601.938,2.201,"topo","73",NA
4099692.083,568606.223,2.341,"topo","74",NA
4099695.387,568608.621,2.273,"topo","75",NA
4099699.164,568608.944,2.231,"topo","76",NA
4099704.833,568609.715,2.098,"topo","77",NA
4099703.989,568613.358,2.381,"topo","78",NA
4099703.698,568616.956,2.273,"topo","79",NA
4099706.123,568619.439,2.345,"topo","80",NA
4099709.294,568617.853,2.373,"topo","81",NA
4099712.613,568616.332,2.346,"topo","82",NA
4099716.498,568616.031,2.129,"topo","83",NA
4099719.942,568617.917,2.045,"topo","84",NA
4099717.991,568620.582,2.421,"topo","85",NA
4099714.516,568623.258,2.422,"topo","86",NA
4099714.427,568626.939,2.341,"topo","87",NA
4099717.886,568627.113,2.462,"topo","88",NA
4099721.405,568624.968,2.446,"topo","89",NA
4099724.175,568623.492,2.422,"topo","90",NA
4099726.99,568623.966,2.063,"topo","91",NA
4099728.593,568626.786,2.305,"topo","92",NA
4099725.648,568629.52,2.383,"topo","93",NA
4099722.297,568633.089,2.435,"topo","94",NA
4099722.456,568636.051,2.446,"topo","95",NA
4099722.853,568638.756,2.348,"topo","96",NA
4099723.898,568640.528,2.372,"topo","97",NA
4099725.72,568639.334,2.433,"topo","98",NA
4099729.397,568636.865,2.343,"topo","99",NA
4099732.48,568634.688,2.266,"topo","100",NA
4099733.411,568633.291,2.239,"topo","101",NA
4099735.678,568632.496,2.211,"topo","102",NA
4099737.735,568632.973,1.924,"topo","103",NA
4099736.608,568635.997,2.238,"topo","104",NA
4099734.28,568640.15,2.246,"topo","105",NA
4099731.728,568645.244,2.318,"topo","106",NA
4099733.268,568648.247,2.249,"topo","107",NA
4099736.994,568647.697,2.205,"topo","108",NA
4099742.413,568646.121,2.183,"topo","109",NA
4099743.915,568650.738,2.13,"topo","110",NA
4099741.095,568656.195,2.16,"topo","111",NA
4099740.641,568658.956,2.036,"topo","112",NA
4099742.591,568661.577,2.019,"topo","113",NA
4099746.49,568661.076,1.898,"topo","114",NA
4099747.25,568654.695,1.822,"topo","115",NA
