"Pt.name","North","East","BedSE","WaterSE","Depth","Code","VertPrec"
"3",4099623.013,568601.3,8.232,NA,NA,"topo",NA
"4",4099647.278,568579.172,7.887,NA,NA,"cp01",NA
"5",4099652.908,568591.758,3.692,NA,NA,"topo",NA
"6",4099652.92,568591.741,3.687,NA,NA,"topo",NA
"7",4099657.55,568594.706,3.887,NA,NA,"topo",NA
"8",4099660.324,568589.728,2.822,NA,NA,"topo",NA
"9",4099663.744,568592.549,2.714,NA,NA,"topo",NA
"10",4099663.518,568594.31,3.034,NA,NA,"topo",NA
"11",4099666.085,568597.979,3.112,NA,NA,"topo",NA
"12",4099670.557,568602.446,3.111,NA,NA,"topo",NA
"13",4099674.457,568602.584,2.439,NA,NA,"topo",NA
"14",4099675.675,568606.607,3.38,NA,NA,"topo",NA
"15",4099681.296,568608.782,2.722,NA,NA,"topo",NA
"16",4099683.723,568611.041,3.213,NA,NA,"topo",NA
"17",4099685.693,568612.599,3.492,NA,NA,"topo",NA
"18",4099688.951,568613.886,2.839,NA,NA,"topo",NA
"19",4099691.398,568616.326,3.147,NA,NA,"topo",NA
"20",4099695.4,568619.014,2.993,NA,NA,"topo",NA
"21",4099699.62,568623.32,3.118,NA,NA,"topo",NA
"22",4099705.591,568627.731,3.154,NA,NA,"topo",NA
"23",4099705.657,568627.8,3.162,NA,NA,"topo",NA
"24",4099710.356,568632.485,3.104,NA,NA,"topo",NA
"25",4099711.992,568638.368,3.34,NA,NA,"topo",NA
"26",4099715.188,568640.789,3.113,NA,NA,"topo",NA
"27",4099720.306,568644.425,3.229,NA,NA,"topo",NA
"28",4099723.887,568650.367,3.225,NA,NA,"topo",NA
"29",4099727.762,568649.513,2.863,NA,NA,"topo",NA
"30",4099727.801,568654.163,3.178,NA,NA,"topo",NA
"31",4099733.28,568655.193,3.041,NA,NA,"topo",NA
"32",4099734.26,568660.646,3.353,NA,NA,"topo",NA
"33",4099738.119,568661.774,3.191,NA,NA,"topo",NA
"34",4099739.045,568665.882,3.416,NA,NA,"topo",NA
"35",4099742.217,568667.176,3.339,NA,NA,"topo",NA
"36",4099745.385,568672.212,3.368,NA,NA,"topo",NA
"37",4099746.327,568673.801,3.534,NA,NA,"topo",NA
"46",4099681.606,568599.885,2.018,NA,NA,"topo",NA
"47",4099678.649,568603.679,2.463,NA,NA,"topo",NA
"48",4099682.149,568606.835,2.481,NA,NA,"topo",NA
"51",4099678.564,568603.056,2.432,NA,NA,"topo",NA
"52",4099675.677,568600.468,2.369,NA,NA,"topo",NA
"58",4099659.477,568584.386,2.287,NA,NA,"topo",NA
"59",4099662.08,568588.626,2.344,NA,NA,"topo",NA
"60",4099664.666,568589.576,1.966,NA,NA,"topo",NA
"61",4099666.531,568593.096,2.456,NA,NA,"topo",NA
"62",4099669.309,568593.332,2.223,NA,NA,"topo",NA
"63",4099669.659,568596.571,2.318,NA,NA,"topo",NA
"64",4099672.303,568595.286,2.177,NA,NA,"topo",NA
"65",4099674.592,568593.992,1.896,NA,NA,"topo",NA
"66",4099677.072,568595.297,1.942,NA,NA,"topo",NA
"67",4099680.264,568596.246,1.95,NA,NA,"topo",NA
"68",4099683.101,568596.553,2.154,NA,NA,"topo",NA
"69",4099684.053,568599.872,2.175,NA,NA,"topo",NA
"70",4099688.414,568599.546,2.225,NA,NA,"topo",NA
"71",4099690.873,568597.433,2.052,NA,NA,"topo",NA
"72",4099693.956,568599.134,2.053,NA,NA,"topo",NA
"73",4099692.927,568601.938,2.201,NA,NA,"topo",NA
"74",4099692.083,568606.223,2.341,NA,NA,"topo",NA
"75",4099695.387,568608.621,2.273,NA,NA,"topo",NA
"76",4099699.164,568608.944,2.231,NA,NA,"topo",NA
"77",4099704.833,568609.715,2.098,NA,NA,"topo",NA
"78",4099703.989,568613.358,2.381,NA,NA,"topo",NA
"79",4099703.698,568616.956,2.273,NA,NA,"topo",NA
"80",4099706.123,568619.439,2.345,NA,NA,"topo",NA
"81",4099709.294,568617.853,2.373,NA,NA,"topo",NA
"82",4099712.613,568616.332,2.346,NA,NA,"topo",NA
"83",4099716.498,568616.031,2.129,NA,NA,"topo",NA
"84",4099719.942,568617.917,2.045,NA,NA,"topo",NA
"85",4099717.991,568620.582,2.421,NA,NA,"topo",NA
"86",4099714.516,568623.258,2.422,NA,NA,"topo",NA
"87",4099714.427,568626.939,2.341,NA,NA,"topo",NA
"88",4099717.886,568627.113,2.462,NA,NA,"topo",NA
"89",4099721.405,568624.968,2.446,NA,NA,"topo",NA
"90",4099724.175,568623.492,2.422,NA,NA,"topo",NA
"91",4099726.99,568623.966,2.063,NA,NA,"topo",NA
"92",4099728.593,568626.786,2.305,NA,NA,"topo",NA
"93",4099725.648,568629.52,2.383,NA,NA,"topo",NA
"94",4099722.297,568633.089,2.435,NA,NA,"topo",NA
"95",4099722.456,568636.051,2.446,NA,NA,"topo",NA
"96",4099722.853,568638.756,2.348,NA,NA,"topo",NA
"97",4099723.898,568640.528,2.372,NA,NA,"topo",NA
"98",4099725.72,568639.334,2.433,NA,NA,"topo",NA
"99",4099729.397,568636.865,2.343,NA,NA,"topo",NA
