"Pt.name","North","East","Code","BedSE"
"3",4099623.013,568601.3,"topo",8.232
"4",4099647.278,568579.172,"cp01",7.887
"5",4099652.908,568591.758,"topo",3.692
"6",4099652.92,568591.741,"topo",3.687
"7",4099657.55,568594.706,"topo",3.887
"8",4099660.324,568589.728,"topo",2.822
"9",4099663.744,568592.549,"topo",2.714
"10",4099663.518,568594.31,"topo",3.034
"11",4099666.085,568597.979,"topo",3.112
"12",4099670.557,568602.446,"topo",3.111
"13",4099674.457,568602.584,"topo",2.439
"14",4099675.675,568606.607,"topo",3.38
"15",4099681.296,568608.782,"topo",2.722
"16",4099683.723,568611.041,"topo",3.213
"17",4099685.693,568612.599,"topo",3.492
"18",4099688.951,568613.886,"topo",2.839
"19",4099691.398,568616.326,"topo",3.147
"20",4099695.4,568619.014,"topo",2.993
"21",4099699.62,568623.32,"topo",3.118
"22",4099705.591,568627.731,"topo",3.154
"23",4099705.657,568627.8,"topo",3.162
"24",4099710.356,568632.485,"topo",3.104
"25",4099711.992,568638.368,"topo",3.34
"26",4099715.188,568640.789,"topo",3.113
"27",4099720.306,568644.425,"topo",3.229
"28",4099723.887,568650.367,"topo",3.225
"29",4099727.762,568649.513,"topo",2.863
"30",4099727.801,568654.163,"topo",3.178
"31",4099733.28,568655.193,"topo",3.041
"32",4099734.26,568660.646,"topo",3.353
"33",4099738.119,568661.774,"topo",3.191
"34",4099739.045,568665.882,"topo",3.416
"35",4099742.217,568667.176,"topo",3.339
"36",4099745.385,568672.212,"topo",3.368
"37",4099746.327,568673.801,"topo",3.534
"38",4099746.506,568670.987,"wse",2.68
"39",4099743.712,568667.6,"wse",2.739
"40",4099740.652,568662.228,"wse",2.679
"41",4099732.105,568649.105,"wse",2.653
"42",4099729.272,568647.289,"wse",2.683
"43",4099723.359,568641.98,"wse",2.685
"44",4099704.416,568622.671,"wse",2.668
"45",4099690.814,568613.371,"wse",2.691
"46",4099681.606,568599.885,"topo",2.018
"47",4099678.649,568603.679,"topo",2.463
"48",4099682.149,568606.835,"topo",2.481
"49",4099682.584,568608.845,"wse",2.681
"50",4099680.072,568607.395,"wse",2.677
"51",4099678.564,568603.056,"topo",2.432
"52",4099675.677,568600.468,"topo",2.369
"53",4099673.075,568601.985,"wse",2.684
"54",4099668.406,568597.8,"wse",2.654
"55",4099664.576,568593.112,"wse",2.665
"56",4099660.821,568588.97,"wse",2.662
"57",4099656.872,568582.492,"wse",2.692
"58",4099659.477,568584.386,"topo",2.287
"59",4099662.08,568588.626,"topo",2.344
"60",4099664.666,568589.576,"topo",1.966
"61",4099666.531,568593.096,"topo",2.456
"62",4099669.309,568593.332,"topo",2.223
"63",4099669.659,568596.571,"topo",2.318
"64",4099672.303,568595.286,"topo",2.177
"65",4099674.592,568593.992,"topo",1.896
"66",4099677.072,568595.297,"topo",1.942
"67",4099680.264,568596.246,"topo",1.95
"68",4099683.101,568596.553,"topo",2.154
"69",4099684.053,568599.872,"topo",2.175
"70",4099688.414,568599.546,"topo",2.225
"71",4099690.873,568597.433,"topo",2.052
"72",4099693.956,568599.134,"topo",2.053
"73",4099692.927,568601.938,"topo",2.201
"74",4099692.083,568606.223,"topo",2.341
"75",4099695.387,568608.621,"topo",2.273
"76",4099699.164,568608.944,"topo",2.231
"77",4099704.833,568609.715,"topo",2.098
"78",4099703.989,568613.358,"topo",2.381
"79",4099703.698,568616.956,"topo",2.273
"80",4099706.123,568619.439,"topo",2.345
"81",4099709.294,568617.853,"topo",2.373
"82",4099712.613,568616.332,"topo",2.346
"83",4099716.498,568616.031,"topo",2.129
"84",4099719.942,568617.917,"topo",2.045
"85",4099717.991,568620.582,"topo",2.421
"86",4099714.516,568623.258,"topo",2.422
"87",4099714.427,568626.939,"topo",2.341
"88",4099717.886,568627.113,"topo",2.462
"89",4099721.405,568624.968,"topo",2.446
"90",4099724.175,568623.492,"topo",2.422
"91",4099726.99,568623.966,"topo",2.063
"92",4099728.593,568626.786,"topo",2.305
"93",4099725.648,568629.52,"topo",2.383
"94",4099722.297,568633.089,"topo",2.435
"95",4099722.456,568636.051,"topo",2.446
"96",4099722.853,568638.756,"topo",2.348
"97",4099723.898,568640.528,"topo",2.372
"98",4099725.72,568639.334,"topo",2.433
"99",4099729.397,568636.865,"topo",2.343
"100",4099732.48,568634.688,"topo",2.266
"101",4099733.411,568633.291,"topo",2.239
"102",4099735.678,568632.496,"topo",2.211
"103",4099737.735,568632.973,"topo",1.924
"104",4099736.608,568635.997,"topo",2.238
"105",4099734.28,568640.15,"topo",2.246
"106",4099731.728,568645.244,"topo",2.318
"107",4099733.268,568648.247,"topo",2.249
"108",4099736.994,568647.697,"topo",2.205
"109",4099742.413,568646.121,"topo",2.183
"110",4099743.915,568650.738,"topo",2.13
"111",4099741.095,568656.195,"topo",2.16
"112",4099740.641,568658.956,"topo",2.036
"113",4099742.591,568661.577,"topo",2.019
"114",4099746.49,568661.076,"topo",1.898
