"North","East","WaterSE","Code","Pt.name","VertPrec"
4099746.506,568670.987,2.68,"wse","38",NA
4099743.712,568667.6,2.739,"wse","39",NA
4099740.652,568662.228,2.679,"wse","40",NA
4099732.105,568649.105,2.653,"wse","41",NA
4099729.272,568647.289,2.683,"wse","42",NA
4099723.359,568641.98,2.685,"wse","43",NA
4099704.416,568622.671,2.668,"wse","44",NA
4099690.814,568613.371,2.691,"wse","45",NA
4099682.584,568608.845,2.681,"wse","49",NA
4099680.072,568607.395,2.677,"wse","50",NA
4099673.075,568601.985,2.684,"wse","53",NA
4099668.406,568597.8,2.654,"wse","54",NA
4099664.576,568593.112,2.665,"wse","55",NA
4099660.821,568588.97,2.662,"wse","56",NA
4099656.872,568582.492,2.692,"wse","57",NA
4099655.002,568577.359,2.695,"wse","143",NA
4099654.574,568575.445,2.676,"wse","144",NA
4099653.338,568573.653,2.95,"wse","145",NA
4099641.767,568559.781,2.654,"wse","148",NA
4099639.401,568556.763,2.665,"wse","149",NA
4099636.295,568552.018,2.678,"wse","150",NA
4099634.091,568548.517,2.674,"wse","151",NA
4099631.67,568544.108,2.668,"wse","152",NA
4099630.231,568539.119,2.682,"wse","153",NA
4099633.113,568538.268,2.683,"wse","154",NA
4099637.206,568540.907,2.691,"wse","155",NA
4099641.419,568539.562,2.652,"wse","156",NA
4099644.873,568537.302,2.664,"wse","157",NA
4099649.415,568534.023,2.675,"wse","158",NA
4099654.183,568532.755,2.676,"wse","159",NA
4099658.481,568532.491,2.667,"wse","160",NA
4099662.578,568529.117,2.641,"wse","161",NA
4099664.39,568523.114,2.676,"wse","162",NA
4099667.696,568517.662,2.653,"wse","163",NA
4099671.492,568533.928,2.693,"wse","240",NA
4099672.292,568536.335,2.688,"wse","241",NA
4099672.461,568538.229,2.704,"wse","242",NA
4099672.375,568539.627,2.661,"wse","243",NA
4099685.648,568556.285,2.659,"wse","253",NA
4099684.309,568554.66,2.672,"wse","254",NA
4099682.466,568552.19,2.668,"wse","255",NA
4099720.329,568599.789,2.678,"wse","299",NA
4099720.344,568594.847,2.685,"wse","303",NA
4099717.865,568597.028,2.676,"wse","304",NA
4099726.381,568605.708,2.669,"wse","310",NA
4099728.098,568608.288,2.719,"wse","311",NA
4099730.728,568610.121,2.671,"wse","312",NA
4099734.35,568612.703,2.682,"wse","318",NA
4099736.213,568615.225,2.696,"wse","319",NA
4099737.236,568616.425,2.673,"wse","331",NA
4099740.32,568619.756,2.638,"wse","332",NA
4099743.366,568623.345,2.664,"wse","336",NA
4099747.642,568629.007,2.682,"wse","342",NA
4099751.497,568633.146,2.657,"wse","347",NA
4099755.555,568636.901,2.684,"wse","350",NA
4099759.942,568642.683,2.716,"wse","354",NA
4099780.13,568709.374,2.656,"wse","442",NA
4099804.063,568730.192,2.704,"wse","492",NA
4099821.657,568742.723,2.7,"wse","525",NA
4099828.222,568746.943,2.692,"wse","537",NA
4099833.748,568749.056,2.722,"wse","550",NA
4099852.875,568757.978,2.688,"wse","579",NA
4099850.336,568756.895,2.701,"wse","581",NA
4099861.34,568761.606,2.667,"wse","593",NA
4099889.347,568770.213,2.668,"wse","630",NA
4099927.126,568786.333,2.697,"wse","673",NA
4099810.624,568761.905,2.719,"wse","771",NA
4099807.238,568760.299,2.683,"wse","772",NA
4099807.215,568760.29,2.694,"wse","773",NA
4099804.424,568758.582,2.691,"wse","774",NA
4099797.119,568753.885,2.671,"wse","775",NA
4099792.301,568750.041,2.697,"wse","776",NA
4099786.924,568748.076,2.731,"wse","777",NA
4099781.421,568743.179,2.751,"wse","778",NA
4099775.593,568735.725,2.724,"wse","779",NA
4099771.994,568730.879,2.733,"wse","780",NA
4099768.516,568725.457,2.657,"wse","781",NA
4099765.978,568721.188,2.71,"wse","782",NA
4099763.567,568717.383,2.674,"wse","783",NA
4099760.982,568713.858,2.7,"wse","784",NA
4099758.005,568708.829,2.679,"wse","785",NA
4099756.075,568705.087,2.674,"wse","786",NA
4099753.111,568698.461,2.708,"wse","787",NA
4099750.95,568694.18,2.674,"wse","788",NA
4099747.386,568689.234,2.7,"wse","789",NA
4099745.82,568685.081,2.699,"wse","790",NA
4099744.995,568682.102,2.793,"wse","791",NA
4099748.072,568676.925,2.719,"wse","792",NA
4099748.52,568674.119,2.651,"wse","794",NA
4099747.234,568671.755,2.686,"wse","795",NA
4099721.636,568601.554,2.679,"wse","796",NA
4099664.545,568588.345,2.124,"echo","1000",0.0109
4099664.55,568588.373,2.136,"echo","1001",0.0109
4099664.569,568588.375,2.125,"echo","1002",0.0109
4099664.58,568588.253,2.14,"echo","1003",0.0109
4099664.434,568587.747,2.124,"echo","1005",0.01071
4099664.293,568587.546,2.13,"echo","1006",0.01071
4099664.18,568587.417,2.126,"echo","1007",0.01071
4099664.355,568587.409,2.131,"echo","1008",0.01084
4099664.226,568587.212,2.134,"echo","1009",0.01084
4099664.028,568586.969,2.123,"echo","1010",0.01084
4099663.849,568586.866,2.136,"echo","1011",0.01081
4099663.703,568586.63,2.131,"echo","1012",0.01081
4099663.498,568586.409,2.141,"echo","1013",0.01081
4099665.068,568589.722,2.117,"echo","1014",0.01046
4099664.72,568589.801,2.124,"echo","1015",0.01057
4099664.165,568589.421,2.119,"echo","1016",0.0106
4099664.032,568588.352,2.126,"echo","1017",0.01061
4099663.689,568587.51,2.138,"echo","1018",0.0106
4099663.177,568586.769,2.132,"echo","1019",0.0106
4099662.715,568585.817,2.127,"echo","1020",0.0106
4099662.391,568584.829,2.111,"echo","1021",0.0106
4099661.916,568584.002,2.125,"echo","1022",0.0106
4099661.678,568582.884,2.126,"echo","1023",0.01077
4099661.116,568581.767,2.123,"echo","1024",0.0106
4099660.696,568580.374,2.124,"echo","1025",0.01061
4099660.135,568578.992,2.104,"echo","1026",0.01076
4099659.492,568577.633,2.114,"echo","1027",0.01062
4099659.168,568576.105,2.101,"echo","1028",0.01075
4099658.674,568574.675,2.101,"echo","1029",0.01076
4099658.362,568573.125,2.131,"echo","1030",0.01042
4099658.043,568571.519,2.127,"echo","1031",0.01099
4099657.552,568569.822,2.123,"echo","1032",0.01085
4099657.465,568567.945,2.111,"echo","1033",0.01125
4099657.31,568566.112,2.144,"echo","1034",0.01661
4099657.474,568564.654,2.47,"echo","1035",0.01914
4099661.279,568545.302,2.113,"echo","1036",0.01084
4099661.72,568544.299,2.113,"echo","1037",0.01084
4099662.226,568542.908,2.128,"echo","1038",0.01129
4099662.685,568541.241,2.112,"echo","1039",0.01293
4099663.016,568539.478,2.137,"echo","1040",0.01292
4099663.387,568537.92,2.128,"echo","1041",0.01291
4099664.071,568536.388,2.13,"echo","1042",0.01291
4099664.299,568535.212,2.13,"echo","1043",0.01291
4099664.835,568534.362,2.089,"echo","1044",0.01291
4099664.842,568533.525,2.112,"echo","1045",0.01292
4099665.129,568532.631,2.13,"echo","1046",0.01292
4099665.558,568531.643,2.137,"echo","1047",0.01291
4099665.81,568530.596,2.133,"echo","1048",0.01291
4099666.07,568529.465,2.112,"echo","1049",0.0129
4099666.348,568528.277,2.127,"echo","1050",0.0129
4099666.95,568527.009,2.125,"echo","1051",0.0129
4099667.385,568525.602,2.117,"echo","1052",0.0129
4099667.979,568524.18,2.121,"echo","1053",0.01289
4099668.714,568522.772,2.11,"echo","1054",0.01289
4099669.486,568521.332,2.129,"echo","1055",0.01289
4099670.488,568520.039,2.128,"echo","1056",0.01251
4099671.459,568518.72,2.114,"echo","1057",0.01289
4099672.507,568517.614,2.116,"echo","1058",0.01129
4099673.644,568516.669,2.128,"echo","1059",0.01129
4099674.641,568515.698,2.121,"echo","1060",0.01129
4099675.739,568514.867,2.117,"echo","1061",0.01128
4099676.631,568514.035,2.127,"echo","1062",0.01128
4099677.655,568513.378,2.119,"echo","1063",0.01005
4099678.632,568512.584,2.139,"echo","1064",0.01005
4099679.712,568511.809,2.126,"echo","1065",0.01006
4099680.622,568511.032,2.132,"echo","1066",0.01018
4099681.641,568510.342,2.134,"echo","1067",0.01021
4099682.416,568509.648,2.119,"echo","1068",0.01042
4099682.779,568508.605,2.121,"echo","1069",0.01049
4099683.158,568507.48,2.12,"echo","1070",0.01055
4099684.15,568506.177,2.113,"echo","1072",0.01066
4099684.794,568505.817,2.121,"echo","1073",0.01071
4099685.627,568505.177,2.107,"echo","1074",0.01076
4099686.517,568504.231,2.11,"echo","1075",0.0108
4099687.523,568503.208,2.123,"echo","1076",0.01084
4099688.533,568502.35,2.118,"echo","1077",0.01089
4099689.588,568501.597,2.093,"echo","1078",0.01092
