BASE,4099614.797,568610.850,8.382,base
0003,4099623.013,568601.300,8.232,topo
0004,4099647.278,568579.172,7.887,cp01
0005,4099652.908,568591.758,3.692,topo
0006,4099652.920,568591.741,3.687,topo
0007,4099657.550,568594.706,3.887,topo
0008,4099660.324,568589.728,2.822,topo
0009,4099663.744,568592.549,2.714,topo
0010,4099663.518,568594.310,3.034,topo
0011,4099666.085,568597.979,3.112,topo
0012,4099670.557,568602.446,3.111,topo
0013,4099674.457,568602.584,2.439,topo
0014,4099675.675,568606.607,3.380,topo
0015,4099681.296,568608.782,2.722,topo
0016,4099683.723,568611.041,3.213,topo
0017,4099685.693,568612.599,3.492,topo
0018,4099688.951,568613.886,2.839,topo
0019,4099691.398,568616.326,3.147,topo
0020,4099695.400,568619.014,2.993,topo
0021,4099699.620,568623.320,3.118,topo
0022,4099705.591,568627.731,3.154,topo
0023,4099705.657,568627.800,3.162,topo
0024,4099710.356,568632.485,3.104,topo
0025,4099711.992,568638.368,3.340,topo
0026,4099715.188,568640.789,3.113,topo
0027,4099720.306,568644.425,3.229,topo
0028,4099723.887,568650.367,3.225,topo
0029,4099727.762,568649.513,2.863,topo
0030,4099727.801,568654.163,3.178,topo
0031,4099733.280,568655.193,3.041,topo
0032,4099734.260,568660.646,3.353,topo
0033,4099738.119,568661.774,3.191,topo
0034,4099739.045,568665.882,3.416,topo
0035,4099742.217,568667.176,3.339,topo
0036,4099745.385,568672.212,3.368,topo
0037,4099746.327,568673.801,3.534,topo
0038,4099746.506,568670.987,2.680,wse
0039,4099743.712,568667.600,2.739,wse
0040,4099740.652,568662.228,2.679,wse
0041,4099732.105,568649.105,2.653,wse
0042,4099729.272,568647.289,2.683,wse
0043,4099723.359,568641.980,2.685,wse
0044,4099704.416,568622.671,2.668,wse
0045,4099690.814,568613.371,2.691,wse
0046,4099681.606,568599.885,2.018,topo
0047,4099678.649,568603.679,2.463,topo
0048,4099682.149,568606.835,2.481,topo
0049,4099682.584,568608.845,2.681,wse
0050,4099680.072,568607.395,2.677,wse
0051,4099678.564,568603.056,2.432,topo
0052,4099675.677,568600.468,2.369,topo
0053,4099673.075,568601.985,2.684,wse
0054,4099668.406,568597.800,2.654,wse
0055,4099664.576,568593.112,2.665,wse
0056,4099660.821,568588.970,2.662,wse
0057,4099656.872,568582.492,2.692,wse
0058,4099659.477,568584.386,2.287,topo
0059,4099662.080,568588.626,2.344,topo
0060,4099664.666,568589.576,1.966,topo
0061,4099666.531,568593.096,2.456,topo
0062,4099669.309,568593.332,2.223,topo
0063,4099669.659,568596.571,2.318,topo
0064,4099672.303,568595.286,2.177,topo
0065,4099674.592,568593.992,1.896,topo
0066,4099677.072,568595.297,1.942,topo
0067,4099680.264,568596.246,1.950,topo
0068,4099683.101,568596.553,2.154,topo
0069,4099684.053,568599.872,2.175,topo
0070,4099688.414,568599.546,2.225,topo
0071,4099690.873,568597.433,2.052,topo
0072,4099693.956,568599.134,2.053,topo
0073,4099692.927,568601.938,2.201,topo
0074,4099692.083,568606.223,2.341,topo
0075,4099695.387,568608.621,2.273,topo
0076,4099699.164,568608.944,2.231,topo
0077,4099704.833,568609.715,2.098,topo
0078,4099703.989,568613.358,2.381,topo
0079,4099703.698,568616.956,2.273,topo
0080,4099706.123,568619.439,2.345,topo
0081,4099709.294,568617.853,2.373,topo
0082,4099712.613,568616.332,2.346,topo
0083,4099716.498,568616.031,2.129,topo
0084,4099719.942,568617.917,2.045,topo
0085,4099717.991,568620.582,2.421,topo
0086,4099714.516,568623.258,2.422,topo
0087,4099714.427,568626.939,2.341,topo
0088,4099717.886,568627.113,2.462,topo
0089,4099721.405,568624.968,2.446,topo
0090,4099724.175,568623.492,2.422,topo
0091,4099726.990,568623.966,2.063,topo
0092,4099728.593,568626.786,2.305,topo
0093,4099725.648,568629.520,2.383,topo
0094,4099722.297,568633.089,2.435,topo
0095,4099722.456,568636.051,2.446,topo
0096,4099722.853,568638.756,2.348,topo
0097,4099723.898,568640.528,2.372,topo
0098,4099725.720,568639.334,2.433,topo
0099,4099729.397,568636.865,2.343,topo
0100,4099732.480,568634.688,2.266,topo
0101,4099733.411,568633.291,2.239,topo
0102,4099735.678,568632.496,2.211,topo
0103,4099737.735,568632.973,1.924,topo
0104,4099736.608,568635.997,2.238,topo
0105,4099734.280,568640.150,2.246,topo
0106,4099731.728,568645.244,2.318,topo
0107,4099733.268,568648.247,2.249,topo
0108,4099736.994,568647.697,2.205,topo
0109,4099742.413,568646.121,2.183,topo
0110,4099743.915,568650.738,2.130,topo
0111,4099741.095,568656.195,2.160,topo
0112,4099740.641,568658.956,2.036,topo
0113,4099742.591,568661.577,2.019,topo
0114,4099746.490,568661.076,1.898,topo
0115,4099747.250,568654.695,1.822,topo
0116,4099747.169,568650.420,1.818,topo
0117,4099745.962,568645.303,1.844,topo
0118,4099743.923,568639.945,1.824,topo
0119,4099735.804,568636.061,2.238,topo
0120,4099727.676,568629.143,2.371,topo
0121,4099721.114,568621.294,2.399,topo
