Pt name,North,East,Elevation,Depth,Code,GPSweek,Seconds,SurvMeth,HorzPrec,VertPrec,NumSat,PDOP,HDOP,VDOP,RMS,NumPosUsed,Latency,Battery Voltage,Quality,Flags
BASE,4099614.797,568610.85,8.382,,base,,,KeyedIn,,,,,,,,,0,,,
5500,4099874.625,568781.334,2.436,0.7,echo,2280,503119,RTK,0.00653,0.01221,13,1.52385,0.876,1.24689,,1,0,10.5,126,0
5501,4099874.654,568781.291,2.431,0.67,echo,2280,503121,RTK,0.00653,0.01221,13,1.5239,0.87601,1.24695,,1,0,10.5,124,0
5502,4099874.725,568781.264,2.434,0.69,echo,2280,503123,RTK,0.00672,0.01236,13,1.52395,0.87602,1.24701,,1,0,10.4,124,0
5503,4099874.864,568781.249,2.431,0.67,echo,2280,503125,RTK,0.0066,0.01227,13,1.52401,0.87603,1.24707,,1,0,10.5,126,0
5504,4099875.067,568781.239,2.418,0.78,echo,2280,503127,RTK,0.00654,0.01222,13,1.52406,0.87604,1.24712,,1,0,10.5,117,0
5505,4099875.227,568781.169,2.422,0.76,echo,2280,503129,RTK,0.00654,0.01222,13,1.52411,0.87605,1.24718,,1,0,10.5,117,0
5506,4099875.367,568780.984,2.416,0.64,echo,2280,503131,RTK,0.00654,0.01222,13,1.52417,0.87606,1.24724,,1,0,10.5,125,0
5507,4099875.554,568780.756,2.391,0.63,echo,2280,503133,RTK,0.00672,0.01237,13,1.52422,0.87607,1.2473,,1,0,10.6,126,0
5508,4099875.767,568780.407,2.403,0.63,echo,2280,503135,RTK,0.0067,0.01223,13,1.52427,0.87608,1.24736,,1,0,10.5,126,0
5509,4099876.022,568780.039,2.403,0.63,echo,2280,503137,RTK,0.00654,0.01222,13,1.52433,0.87609,1.24741,,1,0,10.5,126,0
5510,4099876.041,568779.652,2.383,0.66,echo,2280,503139,RTK,0.00661,0.01257,13,1.52438,0.8761,1.24747,,1,0,10.5,125,0
5511,4099875.896,568779.311,2.376,0.66,echo,2280,503141,RTK,0.00655,0.01225,13,1.52443,0.87611,1.24753,,1,0,10.5,121,0
5512,4099875.514,568779.075,2.388,0.64,echo,2280,503143,RTK,0.00655,0.01225,13,1.52448,0.87612,1.24758,,1,0,10.5,126,0
5513,4099874.979,568779.186,2.374,0.64,echo,2280,503145,RTK,0.00656,0.01225,13,1.52454,0.87613,1.24764,,1,0,10.5,125,0
5514,4099874.183,568779.29,2.376,0.63,echo,2280,503147,RTK,0.00656,0.01226,13,1.52459,0.87614,1.2477,,1,0,10.5,125,0
5515,4099873.193,568779.242,2.388,0.64,echo,2280,503149,RTK,0.00656,0.01226,13,1.52464,0.87615,1.24775,,1,0,10.5,126,0
5516,4099872.244,568779.081,2.399,0.69,echo,2280,503151,RTK,0.00656,0.01225,13,1.52469,0.87616,1.24781,,1,0,10.5,120,0
5517,4099871.461,568778.915,2.384,0.63,echo,2280,503153,RTK,0.00656,0.01226,13,1.52474,0.87617,1.24786,,1,0,10.5,125,0
5518,4099871.456,568778.321,2.387,0.63,echo,2280,503155,RTK,0.00663,0.01259,13,1.52479,0.87618,1.24792,,1,0,10.5,125,0
5519,4099871.764,568779.064,2.397,0.63,echo,2280,503157,RTK,0.00663,0.01259,13,1.52484,0.87619,1.24798,,1,0,10.5,126,0
5520,4099872.404,568779.793,2.386,0.64,echo,2280,503159,RTK,0.00656,0.01225,13,1.5249,0.8762,1.24803,,1,0,10.5,125,0
5521,4099873.474,568779.892,2.386,0.63,echo,2280,503161,RTK,0.00664,0.01236,13,1.52495,0.87621,1.24809,,1,0,10.5,125,0
5522,4099874.493,568780.078,2.371,0.61,echo,2280,503163,RTK,0.00679,0.01258,13,1.525,0.87622,1.24814,,1,0,10.5,124,0
5523,4099875.449,568780.469,2.401,0.6,echo,2280,503165,RTK,0.00664,0.01237,13,1.52505,0.87623,1.24819,,1,0,10.5,126,0
5524,4099876.551,568780.958,2.388,0.61,echo,2280,503167,RTK,0.00681,0.0128,13,1.5251,0.87624,1.24825,,1,0,10.5,126,0
5525,4099877.723,568781.654,2.418,0.63,echo,2280,503169,RTK,0.00678,0.01308,13,1.52515,0.87625,1.2483,,1,0,10.5,126,0
5526,4099878.556,568782.393,2.389,0.66,echo,2280,503171,RTK,0.00696,0.01254,13,1.5252,0.87626,1.24836,,1,0,10.5,125,0
5527,4099879.318,568782.986,2.415,0.7,echo,2280,503173,RTK,0.00707,0.01278,12,1.60761,0.94455,1.30086,,1,0,10.5,123,0
5528,4099880.229,568783.442,2.394,0.72,echo,2280,503175,RTK,0.00672,0.01224,13,1.52532,0.87628,1.24849,,1,0,10.5,125,0
5529,4099881.269,568783.51,2.394,0.73,echo,2280,503177,RTK,0.00666,0.01238,13,1.52537,0.87629,1.24854,,1,0,10.5,126,0
5530,4099882.222,568783.656,2.39,0.72,echo,2280,503179,RTK,0.0066,0.0123,13,1.52542,0.8763,1.2486,,1,0,10.5,114,0
5531,4099883.007,568783.587,2.398,0.69,echo,2280,503181,RTK,0.00667,0.0124,13,1.52547,0.87631,1.24865,,1,0,10.6,117,0
5532,4099883.938,568783.578,2.377,0.7,echo,2280,503183,RTK,0.00662,0.01233,13,1.52552,0.87632,1.2487,,1,0,10.5,125,0
5533,4099884.809,568783.804,2.394,0.61,echo,2280,503185,RTK,0.0067,0.01246,13,1.52557,0.87633,1.24875,,1,0,10.4,126,0
5534,4099885.493,568784.454,2.391,0.64,echo,2280,503187,RTK,0.00664,0.01237,13,1.52561,0.87634,1.24881,,1,0,10.6,126,0
5535,4099885.982,568785.217,2.412,0.69,echo,2280,503189,RTK,0.00691,0.01294,13,1.66161,0.81807,1.44627,,1,0,10.5,123,0
5536,4099886.448,568785.862,2.397,0.72,echo,2280,503191,RTK,0.00676,0.01302,12,1.76345,0.97693,1.46812,,1,0,10.5,126,0
5537,4099886.938,568786.455,2.38,0.7,echo,2280,503193,RTK,0.00713,0.01427,11,2.00747,1.02534,1.72586,,1,0,10.5,126,0
5538,4099887.252,568787.158,2.418,0.7,echo,2280,503195,RTK,0.00687,0.01213,13,1.52581,0.87639,1.24901,,1,0,10.5,120,0
5539,4099887.628,568787.966,2.464,0.78,echo,2280,503197,RTK,0.00694,0.01228,13,1.52585,0.8764,1.24906,,1,0,10.5,123,0
5540,4099888.291,568788.6,2.418,0.78,echo,2280,503199,RTK,0.00705,0.01236,13,1.5259,0.87641,1.24911,,1,0,10.5,116,0
5541,4099889.053,568788.878,2.43,0.81,echo,2280,503201,RTK,0.0073,0.01282,11,1.74424,1.10209,1.35195,,1,0,10.5,125,0
5542,4099889.86,568789.114,2.411,0.82,echo,2280,503203,RTK,0.00763,0.01349,11,1.74426,1.10207,1.35199,,1,0,10.5,125,0
5543,4099890.584,568789.199,2.439,0.82,echo,2280,503205,RTK,0.00758,0.0133,11,1.81147,1.16138,1.39019,,1,0,10.5,122,0
5544,4099890.742,568788.81,2.395,0.81,echo,2280,503207,RTK,0.00752,0.01403,11,1.68294,0.98952,1.3613,,1,0,10.5,119,0
5545,4099890.884,568788.114,2.405,0.67,echo,2280,503209,RTK,0.00671,0.01268,13,1.52614,0.87646,1.24937,,1,0,10.5,125,0
5546,4099891.229,568787.38,2.434,0.67,echo,2280,503211,RTK,0.00687,0.01258,13,1.52618,0.87647,1.24942,,1,0,10.5,125,0
5547,4099891.546,568786.879,2.401,0.6,echo,2280,503213,RTK,0.00684,0.01247,13,1.52623,0.87648,1.24946,,1,0,10.5,93,0
5548,4099892.234,568786.287,2.407,0.67,echo,2280,503215,RTK,0.007,0.01275,13,1.52627,0.87649,1.24951,,1,0,10.5,125,0
5549,4099893.024,568786.005,2.388,0.72,echo,2280,503217,RTK,0.00679,0.01256,13,1.52632,0.8765,1.24956,,1,0,10.5,125,0
5550,4099893.648,568785.794,2.41,0.79,echo,2280,503219,RTK,0.00671,0.01248,13,1.52637,0.87651,1.24961,,1,0,10.5,125,0
5551,4099893.937,568786.094,2.403,0.79,echo,2280,503221,RTK,0.00672,0.0125,13,1.52641,0.87652,1.24966,,1,0,10.5,126,0
5552,4099893.534,568786.342,2.383,0.75,echo,2280,503223,RTK,0.00679,0.01278,13,1.52646,0.87653,1.24971,,1,0,10.5,126,0
