Pt name,North,East,Elevation,Depth,Code,GPSweek,Seconds,SurvMeth,HorzPrec,VertPrec,NumSat,PDOP,HDOP,VDOP,RMS,NumPosUsed,Latency,Battery Voltage,Quality,Flags
BASE,4099614.797,568610.85,8.382,,base,,,KeyedIn,,,,,,,,,0,,,
1,4099616.387,568607.802,8.382,,topo,2280,490034,RTK,0.00481,0.00665,12,2.05832,1.01494,1.7907,,5,0,,,
2,4099647.28,568579.167,7.886,,cp01,2280,490102,RTK,0.0058,0.00812,12,2.06413,1.01806,1.7956,,3,0,,,
1000,4099664.545,568588.345,2.394,0.82,echo,2280,492411,RTK,0.00638,0.0109,12,1.63178,0.90885,1.35525,,1,0,11.1,125,0
1001,4099664.55,568588.373,2.406,0.81,echo,2280,492412,RTK,0.00637,0.0109,12,1.63193,0.90891,1.35539,,1,0,11.1,125,0
1002,4099664.569,568588.375,2.395,0.81,echo,2280,492413,RTK,0.00637,0.0109,12,1.63193,0.90891,1.35539,,1,0,11.1,125,0
1003,4099664.58,568588.253,2.41,0.84,echo,2280,492414,RTK,0.00637,0.0109,12,1.63208,0.90896,1.35553,,1,0,11.1,125,0
1004,4099664.541,568587.995,2.396,,echo,2280,492415,RTK,0.00637,0.0109,12,1.63208,0.90896,1.35553,,1,0,,,
1005,4099664.434,568587.747,2.394,0.84,echo,2280,492416,RTK,0.00628,0.01071,12,1.63223,0.90902,1.35567,,1,0,11.1,125,0
1006,4099664.293,568587.546,2.4,0.79,echo,2280,492417,RTK,0.00628,0.01071,12,1.63223,0.90902,1.35567,,1,0,11.2,125,0
1007,4099664.18,568587.417,2.396,0.88,echo,2280,492418,RTK,0.00628,0.01071,12,1.63238,0.90907,1.35582,,1,0,11.1,121,0
1008,4099664.355,568587.409,2.401,0.9,echo,2280,492460,RTK,0.00631,0.01084,12,1.63544,0.91024,1.35872,,1,0,11,125,0
1009,4099664.226,568587.212,2.404,0.94,echo,2280,492462,RTK,0.00631,0.01084,12,1.63558,0.9103,1.35885,,1,0,11.1,126,0
1010,4099664.028,568586.969,2.393,1.02,echo,2280,492464,RTK,0.00631,0.01084,12,1.63572,0.91035,1.35899,,1,0,11.1,121,0
1011,4099663.849,568586.866,2.406,1,echo,2280,492466,RTK,0.00629,0.01081,12,1.63586,0.91041,1.35912,,1,0,11.1,123,0
1012,4099663.703,568586.63,2.401,1,echo,2280,492468,RTK,0.00629,0.01081,12,1.63601,0.91046,1.35926,,1,0,11.1,124,0
1013,4099663.498,568586.409,2.411,1.09,echo,2280,492470,RTK,0.00629,0.01081,12,1.63615,0.91052,1.35939,,1,0,11.1,123,0
1014,4099665.068,568589.722,2.387,0.78,echo,2280,492658,RTK,0.00602,0.01046,12,1.64831,0.91565,1.37058,,1,0,11.1,125,0
1015,4099664.72,568589.801,2.394,0.66,echo,2280,492660,RTK,0.00605,0.01057,12,1.64842,0.9157,1.37069,,1,0,11.1,125,0
1016,4099664.165,568589.421,2.389,0.63,echo,2280,492662,RTK,0.00606,0.0106,12,1.64854,0.91576,1.37079,,1,0,11.1,126,0
1017,4099664.032,568588.352,2.396,0.79,echo,2280,492664,RTK,0.00606,0.01061,12,1.64865,0.91581,1.3709,,1,0,11.1,125,0
1018,4099663.689,568587.51,2.408,0.78,echo,2280,492666,RTK,0.00606,0.0106,12,1.64877,0.91586,1.371,,1,0,11.1,124,0
1019,4099663.177,568586.769,2.402,0.78,echo,2280,492668,RTK,0.00606,0.0106,12,1.64888,0.91592,1.3711,,1,0,11.1,125,0
1020,4099662.715,568585.817,2.397,0.87,echo,2280,492670,RTK,0.00606,0.0106,12,1.649,0.91597,1.3712,,1,0,11.1,125,0
1021,4099662.391,568584.829,2.381,1.05,echo,2280,492672,RTK,0.00606,0.0106,12,1.64911,0.91602,1.37131,,1,0,11.1,122,0
1022,4099661.916,568584.002,2.395,1.14,echo,2280,492674,RTK,0.00605,0.0106,12,1.64923,0.91608,1.37141,,1,0,11.1,125,0
1023,4099661.678,568582.884,2.396,1.21,echo,2280,492676,RTK,0.0061,0.01077,12,1.64934,0.91613,1.37151,,1,0,11.1,112,0
1024,4099661.116,568581.767,2.393,1.2,echo,2280,492678,RTK,0.00606,0.0106,12,1.64946,0.91618,1.37161,,1,0,11.1,123,0
1025,4099660.696,568580.374,2.394,1.24,echo,2280,492680,RTK,0.00606,0.01061,12,1.64957,0.91624,1.37171,,1,0,11.1,116,0
1026,4099660.135,568578.992,2.374,1.23,echo,2280,492682,RTK,0.0061,0.01076,12,1.64968,0.91629,1.37181,,1,0,11.1,112,0
1027,4099659.492,568577.633,2.384,1.23,echo,2280,492684,RTK,0.00606,0.01062,12,1.6498,0.91634,1.37191,,1,0,11.1,120,0
1028,4099659.168,568576.105,2.371,1.18,echo,2280,492686,RTK,0.00613,0.01075,12,1.64991,0.9164,1.37201,,1,0,11.1,125,0
1029,4099658.674,568574.675,2.371,1.14,echo,2280,492688,RTK,0.00613,0.01076,12,1.65002,0.91645,1.37211,,1,0,11.1,124,0
1030,4099658.362,568573.125,2.401,1.18,echo,2280,492690,RTK,0.00626,0.01042,12,1.65013,0.9165,1.37221,,1,0,11,126,0
